base_origem,qru_corrida,orgao_nome,orgao_codigo_siorg,orgao_categoria,unidade_administrativa_nome,unidade_administrativa_codigo_siorg,status,motivo,justificativa,km_total,km_rota_calculada,valor_corrida,data_abertura,data_despacho,data_local_embarque,data_inicio,data_final,data_cancelamento,origem_endereco,origem_bairro,origem_cidade,origem_uf,destino_solicitado_endereco,destino_efetivo_endereco,origem_latitude,origem_longitude,destino_solicitado_latitude,destino_solicitado_longitude,destino_efetivo_latitude,destino_efetivo_longitude,avaliacao_usuario_nota,avaliacao_usuario_texto,veiculo_fabricante,veiculo_modelo,veiculo_ano_fabricacao,veiculo_ano_modelo,veiculo_cor,veiculo_placa,ateste_setorial_data,conteste_info
TAXIGOV_DF_3,1365033,Presidência da República,26,DIRETA,CGPPP/IN/CC/PR,,CONCLUÍDA,Outros,,4.56,4.545,17.69,2024-07-16 01:08:19.050,2024-07-16 01:08:32.117,2024-07-16 01:12:42.527,2024-07-16 01:14:55.843,2024-07-16 01:22:26.970,,IMPRENSA NACIONAL,,BRASÍLIA,DF,39 - ASA SUL - BRASÍLIA / DF,39 - ASA SUL - BRASÍLIA / DF,-15.79243,-47.9136,-15.80098,-47.89351,-15.80116,-47.89354,,,,,2024,25,,SSK-**89,,
TAXIGOV_DF_3,1365028,Presidência da República,26,DIRETA,CGPPP/IN/CC/PR,,CANCELADA,Reunião,,,,7.76,2024-07-15 22:55:32.263,2024-07-16 02:06:38.673,,2024-07-16 02:06:38.673,2024-07-16 02:07:23.180,2024-07-16 02:07:23.180,ESTRADA PARQUE INDUSTRIAS GRAFICAS,ZONA INDUSTRIAL,BRASILIA,DF,"QRSW 8 Bl. A1, Brasilia, DF",,-15.79243,-47.9136,-15.78398,-47.92825,,,,,,,,,,,,
TAXIGOV_DF_ENTIDADES,1364997,Instituto do Patrimônio Histórico e Artístico Nacional,2045,INDIRETA,GABINETE/IPHAN,,CANCELADA,Reunião,,,,,2024-07-15 19:14:57.857,2024-07-15 19:19:57.630,,2024-07-15 19:19:57.630,2024-07-15 19:20:08.080,2024-07-15 19:20:08.080,APEXBRASIL,ASA NORTE,BRASILIA,DF,"Instituto do Patrimonio Historico e Artistico Nacional - Sede, Asa Sul, Brasilia, Distrito Federal",,-15.78575,-47.87549,-15.82776,-47.9249,,,,,,SPIN,2024,25,PRATA,SSK-**89,,
TAXIGOV_DF_ENTIDADES,1364995,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis,1812,INDIRETA,DIPLAN/IBAMA,,CONCLUÍDA,Reunião,,5.21,4.897,19.28,2024-07-15 19:14:41.830,2024-07-15 19:14:51.773,2024-07-15 19:15:58.990,2024-07-15 19:16:08.173,2024-07-15 19:24:39.847,,"MINISTERIO DO MEIO AMBIENTE, EIXO MONUMENTAL",,BRASILIA,DF,"Ibama, Brasilia, Distrito Federal","Ibama, Brasilia, Distrito Federal",-15.79859,-47.87243,-15.76624,-47.86238,-15.76553,-47.8627,,,,SIENA,2018,2019,BRANCA,PBK-**34,,
TAXIGOV_DF_3,1364984,Ministério da Saúde,304,DIRETA,DEMSP,,CONCLUÍDA,Reunião,,4.14,4.13,16.06,2024-07-15 18:49:23.617,2024-07-15 18:50:50.960,2024-07-15 18:53:52.260,2024-07-15 18:54:00.420,2024-07-15 19:04:31.250,,MINISTERIO DA SAUDE - BLOCO G,,BRASILIA,DF,"PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, Distrito Federal","PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, Distrito Federal",-15.80024,-47.86838,-15.78407,-47.89045,-15.78416,-47.89046,,,,,2018,2019,,PBK-**34,,
TAXIGOV_DF_3,1364979,Ministério da Saúde,304,DIRETA,GAB/SGTES,,CONCLUÍDA,Reunião,,4.11,4.151,15.95,2024-07-15 18:43:00.153,2024-07-15 18:43:12.760,2024-07-15 18:44:38.640,2024-07-15 18:47:51.150,2024-07-15 18:56:47.580,,MINISTERIO DA SAUDE - BLOCO G,,BRASILIA,DF,"PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF","PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF",-15.80024,-47.86838,-15.78407,-47.89045,-15.78435,-47.89049,,,,,2018,2018,,QOB-**36,,
TAXIGOV_DF_3,1364977,Ministério do Meio Ambiente,1927,DIRETA,GM/MMA,,CONCLUÍDA,Reunião,,2.19,2.963,8.5,2024-07-15 18:40:41.373,2024-07-15 18:40:59.000,2024-07-15 18:46:46.017,2024-07-15 18:47:22.913,2024-07-15 18:50:40.563,,"ANEXO I (PALACIO DO PLANALTO   PRESIDENCIA DA REPUBLICA), PRACA DOS TRES PODERES",PA 1,BRASILIA,DF,"Ministerio do Meio Ambiente, Eixo Monumental, Brasilia, Distrito Federal","Ministerio do Meio Ambiente, Eixo Monumental, Brasilia, Distrito Federal",-15.79955,-47.85925,-15.79859,-47.87243,-15.79861,-47.87221,,,,,2018,2019,,PBK-**34,,
TAXIGOV_DF_3,1364967,Ministério da Educação,244,DIRETA,SECADI,,CANCELADA,Reunião,,,,7.76,2024-07-15 18:20:47.820,2024-07-15 18:26:54.147,,2024-07-15 18:20:47.820,2024-07-15 18:26:54.143,2024-07-15 18:26:54.143,EM BLOCO L,BRASILIA,BRASILIA,DF,"Venancio Shopping, Setor Comercial Sul, Q. 6, Asa Sul, Brasilia, DF",,-15.79527,-47.87307,-15.79599,-47.89293,,,,,,,,,,,,
TAXIGOV_DF_3,1364965,Ministério da Educação,244,DIRETA,ACS/GM/MEC,,CANCELADA,Reunião,,,0.313,7.76,2024-07-15 18:16:26.230,2024-07-15 18:25:59.893,2024-07-15 18:31:46.910,2024-07-15 18:37:33.763,2024-07-15 18:44:19.927,2024-07-15 18:44:19.927,"MINISTERIO DA EDUCACAO (MEC), ESPLANADA DOS MINISTERIOS, BL. L",ZONA CIVICOADMINISTRATIVA,BRASILIA,DF,"Venancio Shopping, Setor Comercial Sul, Q. 6, Asa Sul, Brasilia, Distrito Federal","EM BLOCO L, BLOCO L, ASA NORTE, BRASILIA - DF, BRASIL",-15.7949,-47.87322,-15.79599,-47.89293,-15.7951,-47.87284,,,,,2017,2018,,PBE-**89,,
TAXIGOV_DF_3,1364961,Ministério da Saúde,304,DIRETA,DAHU/SAES/MS,,CONCLUÍDA,Reunião,,2.84,2.662,11.02,2024-07-15 18:12:50.277,2024-07-15 18:13:21.017,2024-07-15 18:23:18.967,2024-07-15 18:23:34.220,2024-07-15 18:33:35.700,,EBSERH - EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES,ASA SUL,BRASILIA,DF,"PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF","PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF",-15.79581,-47.89378,-15.78407,-47.89045,-15.78441,-47.89045,,,,,,,,REU-**33,,
TAXIGOV_DF_ENTIDADES,1364953,Fundo Nacional de Desenvolvimento da Educação,253,INDIRETA,GABIN/FNDE,,CANCELADA,Reunião,,,,7.4,2024-07-15 18:02:38.170,2024-07-15 18:11:16.063,,2024-07-15 18:02:38.170,2024-07-15 18:11:16.063,2024-07-15 18:11:16.063,"CENTRO INTERNACIONAL DE CONVENCOES DO BRASIL, SCES TRECHO 2",ASA SUL,BRASILIA,DF,"Fundo Nacional de Desenvolvimento da Educacao, Sbs, 12, Asa Sul, Brasilia, Distrito Federal",,-15.81569,-47.84475,-15.80089,-47.88341,,,,,,,,,,,,
