base_origem,qru_corrida,orgao_nome,orgao_codigo_siorg,orgao_categoria,unidade_administrativa_nome,unidade_administrativa_codigo_siorg,status,motivo,justificativa,km_total,km_rota_calculada,valor_corrida,data_abertura,data_despacho,data_local_embarque,data_inicio,data_final,data_cancelamento,origem_endereco,origem_bairro,origem_cidade,origem_uf,destino_solicitado_endereco,destino_efetivo_endereco,origem_latitude,origem_longitude,destino_solicitado_latitude,destino_solicitado_longitude,destino_efetivo_latitude,destino_efetivo_longitude,avaliacao_usuario_nota,avaliacao_usuario_texto,veiculo_fabricante,veiculo_modelo,veiculo_ano_fabricacao,veiculo_ano_modelo,veiculo_cor,veiculo_placa,ateste_setorial_data,conteste_info,corrida_longa,mes_abertura,origem_cidade_upper
TAXIGOV_DF_ENTIDADES,1364995,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis,1812,INDIRETA,DIPLAN/IBAMA,,CONCLUÍDA,Reunião,,5.21,4.897,19.28,2024-07-15 19:14:41.830,2024-07-15 19:14:51.773,2024-07-15 19:15:58.990,2024-07-15 19:16:08.173,2024-07-15 19:24:39.847,,"MINISTERIO DO MEIO AMBIENTE, EIXO MONUMENTAL",,BRASILIA,DF,"Ibama, Brasilia, Distrito Federal","Ibama, Brasilia, Distrito Federal",-15.79859,-47.87243,-15.76624,-47.86238,-15.76553,-47.8627,,,,SIENA,2018.0,2019.0,BRANCA,PBK-**34,,,Não,15,BRASILIA
TAXIGOV_DF_3,1364945,Ministério da Saúde,304,DIRETA,CGSPD/DAET/SAES/MS,,CONCLUÍDA,Reunião,,8.97,8.268,34.8,2024-07-15 17:56:36.747,2024-07-15 17:58:50.943,2024-07-15 18:07:42.373,2024-07-15 18:07:48.450,2024-07-15 18:33:29.660,,SCES TRECHO 2,ASA SUL,BRASILIA,DF,"Edificio PO 700, Asa Norte, Brasilia, DF","Edificio PO 700, Asa Norte, Brasilia, DF",-15.81568,-47.84475,-15.78364,-47.89034,-15.78406,-47.89041,,,,,2020.0,2020.0,,REC-**41,,,Não,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364943,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,249,INDIRETA,GAB/INEP,,CONCLUÍDA,Reunião,,5.66,5.702,20.89,2024-07-15 17:53:11.057,2024-07-15 17:59:01.870,2024-07-15 18:03:46.220,2024-07-15 18:07:09.583,2024-07-15 18:23:11.040,,MINISTERIO DA EDUCACAO,PA 2,BRASILIA,DF,"INEP - Instituto Nacional de Estudos e Pesquisas Educacionais Anisio Teixeira, SIG Qd. 4, Lt. 327, Sudoeste/Octogonal, Cruzeiro, DF","INEP - Instituto Nacional de Estudos e Pesquisas Educacionais Anisio Teixeira, SIG Qd. 4, Lt. 327, Sudoeste/Octogonal, Cruzeiro, DF",-15.79501,-47.87305,-15.78816,-47.91414,-15.78833,-47.91389,,,,COROLLA,2022.0,2023.0,PRETA,SGO-**68,,,Não,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364934,Instituto Brasileiro de Museus,100584,INDIRETA,DPMUS,,CONCLUÍDA,Reunião,,6.95,7.145,25.72,2024-07-15 17:27:52.640,2024-07-15 17:29:40.733,2024-07-15 17:39:34.003,2024-07-15 17:40:02.943,2024-07-15 17:51:50.860,,SCES TRECHO 2,ASA SUL,BRASILIA,DF,"Edificio Capes, Asa Norte, Brasilia, DF","Edificio Capes, Asa Norte, Brasilia, DF",-15.81568,-47.84475,-15.78799,-47.87818,-15.78853,-47.87856,,,,VOYAGE,2020.0,2020.0,PRATA,REC-**41,,,Não,15,BRASILIA
TAXIGOV_DF_3,1364832,Ministério do Turismo,72084,DIRETA,GM,,CONCLUÍDA,Reunião,,5.5,5.638,21.34,2024-07-15 16:21:27.553,2024-07-15 16:27:43.113,2024-07-15 16:35:33.637,2024-07-15 16:35:36.133,2024-07-15 16:46:56.750,,"MINISTERIO DO TURISMO (MTUR), ESPLANADA DOS MINISTERIOS, BL. U",ZONA CIVICOADMINISTRATIVA,BRASILIA,DF,"Centro Internacional de Convencoes do Brasil, SCES Trecho 2, Asa Sul, Brasilia, Distrito Federal","Centro Internacional de Convencoes do Brasil, SCES Trecho 2, Asa Sul, Brasilia, Distrito Federal",-15.79631,-47.86798,-15.81569,-47.84475,-15.81526,-47.84532,,,,,2020.0,2020.0,,REC-**41,,,Não,15,BRASILIA
TAXIGOV_DF_3,1364828,Presidência da República,26,DIRETA,DITEC/SA/CC/PR,,CONCLUÍDA,Outros,,12.42,14.665,48.19,2024-07-15 16:17:38.827,2024-07-15 16:18:00.153,2024-07-15 16:24:59.940,2024-07-15 16:26:00.783,2024-07-15 16:37:02.730,,RESIDENCIA OFICIAL DA GRANJA DO TORTO,ZONA INDUSTRIAL,BRASILIA,DF,"Palacio do Planalto, Pca. dos Tres Poderes, ZONA CIVICOADMINISTRATIVA, BRASILIA, DF","VIA N. DOIS LESTE, ASA NORTE, BRASILIA - DF, BRASIL",-15.70542,-47.90573,-15.79941,-47.86088,-15.79693,-47.85817,,,,,2022.0,2023.0,,SGO-**68,,,Sim,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364815,Agência Nacional de Aviação Civil,86144,INDIRETA,SAF/ANAC,,CONCLUÍDA,Reunião,,12.73,11.752,47.1,2024-07-15 16:12:42.100,2024-07-15 16:12:51.400,2024-07-15 16:13:03.733,2024-07-15 16:13:15.077,2024-07-15 16:36:27.253,,"SIA TRECHO 3, CONSELHO DE MEDICINA VETERINARIA",ZONA INDUSTRIAL GUARA,BRASILIA,DF,"MINISTERIO DA SAUDE BL G, - PA 1","EMI BLOCO D, ASA SUL, BRASILIA - DF, BRASIL",-15.80388,-47.95383,-15.80001,-47.86838,-15.79958,-47.87071,,,,CRONOS,2022.0,2023.0,PRATA,SGQ-**74,,,Sim,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364805,Fundação Universidade de Brasília,470,INDIRETA,IH,,CONCLUÍDA,Serviço externo / técnico,,12.97,9.991,47.73,2024-07-15 16:09:49.390,2024-07-15 16:09:59.930,2024-07-15 16:13:43.747,2024-07-15 16:14:06.513,2024-07-15 16:29:30.063,,UBS 1 LAGO NORTE,SETOR DE HABITACOES INDIVIDUAIS NORTE,BRASILIA,DF,"Hospital Universitario de Brasilia, Asa Norte, Brasilia, DF","SGAN 604, ASA NORTE, BRASILIA - DF, 70830-150, BRASIL",-15.72564,-47.87388,-15.77091,-47.87361,-15.77194,-47.87301,,,,LOGAN,2019.0,2020.0,BRANCA,QWT-**02,,,Sim,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364796,Fundação Oswaldo Cruz,315,INDIRETA,NEVS/FIOCRUZ-BSB,,CONCLUÍDA,Reunião,,23.6,23.727,87.32,2024-07-15 16:05:32.367,2024-07-15 16:05:41.917,2024-07-15 16:05:58.950,2024-07-15 16:10:24.077,2024-07-15 16:37:54.980,,UBS 1 SAO SEBASTIAO,CENTRO SAO SEBASTIAO,BRASILIA,DF,"Hospital Universitario de Brasilia - Emergencia, Asa Norte, Brasilia, Distrito Federal","Hospital Universitario de Brasilia - Emergencia, Asa Norte, Brasilia, Distrito Federal",-15.90244,-47.77262,-15.77171,-47.87302,-15.77179,-47.87293,,,,KICKS,2023.0,2023.0,PRETA,SGT-**78,,,Sim,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364787,Agência Nacional de Aviação Civil,86144,INDIRETA,SAF/ANAC,,CONCLUÍDA,Serviço externo / técnico,,11.65,12.378,43.11,2024-07-15 16:02:23.267,2024-07-15 16:02:30.173,2024-07-15 16:02:38.570,2024-07-15 16:03:21.800,2024-07-15 16:16:54.250,,"AEROPORTO ANAC,",AEROPORTO,BRASILIA,DF,"SCS ANAC, - SCS","SCS ANAC, - SCS",-15.8696,-47.93225,-15.79448,-47.89349,-15.79513,-47.89368,,,,COROLLA,2021.0,2022.0,PRETA,REQ-**58,,,Sim,15,BRASILIA
